170	160	-68
160	170	-69
170	163	-68
163	170	-68

171	160	-67
160	171	-68
171	163	-67
163	171	-68

162	166	-68
166	162	-62
162	173	-68
173	162	-71

172	166	-67
166	172	-66
172	173	-67
173	172	-66

164	168	-69
168	164	-68
164	167	-67
167	164	-70

165	168	-68
168	165	-69
165	167	-69
167	165	-70

180	166	-67
166	180	-67
180	173	-68
173	180	-67

108	166	-67
166	108	-67
108	173	-67
173	108	-66

160	161	-69
161	160	-68
160	169	-67
169	160	-68

163	161	-67
161	163	-68
163	169	-66
169	163	-67

166	161	-67
161	166	-67
166	169	-67
169	166	-67

173	161	-66
161	173	-67
173	169	-67
169	173	-66

168	161	-64
161	168	-67
168	169	-68
169	168	-69

167	161	-68
161	167	-69
167	169	-67
169	167	-60
