170	160	-67
160	170	-68
170	163	-68
163	170	-67

171	160	-67
160	171	-67
171	163	-67
163	171	-66

162	166	-68
166	162	-69
162	173	-69
173	162	-46

172	166	-69
166	172	-70
172	173	-69
173	172	-66

164	168	-68
168	164	-68
164	167	-68
167	164	-62

165	168	-67
168	165	-69
165	167	-68
167	165	-67

180	166	-68
166	180	-67
180	173	-68
173	180	-67

108	166	-67
166	108	-67
108	173	-66
173	108	-66

160	161	-67
161	160	-67
160	169	-67
169	160	-68

163	161	-67
161	163	-67
163	169	-67
169	163	-68

166	161	-67
161	166	-67
166	169	-68
169	166	-67

173	169	-67
169	173	-66
173	161	-68
161	173	-67

168	169	-68
169	168	-68
168	161	-69
161	168	-68

167	161	-68
161	167	-67
167	169	-66
169	167	-64
